Date,T,RH,WS,WD,Year,Month,Day,Hour,ustar,viscair,vg_10,X_parameter,vd_10,vg_25,vd_25,vg_460,vg_660,vg_890,vg_1150,vg_1450,vg_1850,vg_2550,vg_3500,vg_4500,vg_5750,vg_7250,vg_9000,vg_11000,vg_13000,vg_15000,vg_16500,vd_460,vd_660,vd_890,vd_1150,vd_1450,vd_1850,vd_2550,vd_3500,vd_4500,vd_5750,vd_7250,vd_9000,vd_11000,vd_13000,vd_15000,vd_16500,vd_0.38-0.54,vd_0.54-1,vd_1-2.1,vd_2.1-5,vd_5-10,vd_>10
2017-06-03 13:00:00,0.815,71.08166667,5.206666667,152.9166667,2017,6,3,13,0.15421006667517334,1.3330771817140121e-05,0.01022071353924277,0.061684026670069336,0.024589493795130327,0.0006387945962026731,0.0006748239799234417,2.9625846313036383e-05,5.5997990929635276e-05,9.64342429290351e-05,0.0001351689365564856,0.00021489050216257926,0.0003498039208805839,0.0006646018978892611,0.0012520374085572394,0.002069694491696661,0.0033792234139121417,0.005372262554064482,0.008278777966786645,0.012367063382483754,0.01727300588132028,0.02299660546329623,0.027825892610588435,2.970133110711727e-05,5.62679854955528e-05,9.723634144358066e-05,0.00013674742942029695,0.00021889376350504503,0.00036047369903867394,0.0007036449142322173,0.0013941923023211235,0.0024723678594879926,0.004517246199479978,0.008522390256463591,0.016857517396650094,0.03577678546994969,0.07615728790911701,0.16577444077692302,0.3037052138052772,2.970133110711727e-05,7.675216346956673e-05,0.00023870496398800534,0.0015234016920137778,0.009965717950864554,0.14535343199031675
2017-06-03 14:00:00,1.271666667,72.21,4.508333333,157.1166667,2017,6,3,14,0.13712010415885834,1.3370491034858161e-05,0.01019035124774274,0.05484804166354334,0.027271129210377016,0.0006368969529839212,0.0006773120374289043,2.9551131375151567e-05,5.585071301136832e-05,9.617348927703515e-05,0.0001347673952513977,0.0002142521349837911,0.0003487647714539954,0.0006626275898844716,0.0012483180278484857,0.002063546127667905,0.0033691848812849442,0.0053563033745947786,0.00825418451067162,0.012330325009768717,0.01722169360868523,0.022928290307421165,0.027743231271979602,2.963560966087516e-05,5.615285171455338e-05,9.707113822311413e-05,0.00013653333757394418,0.00021873266252708096,0.0003607150612295739,0.0007064291480337166,0.0014083016998932814,0.0025187540379780606,0.0046652148418422825,0.008986223087925634,0.018321477187108675,0.040575737709570646,0.09090221444336329,0.2100284359382227,0.40463534709690774,2.963560966087516e-05,7.661199496883375e-05,0.00023866035377686633,0.0015444949619683528,0.010657638372292196,0.1865354337970161
2017-06-03 15:00:00,1.568333333,73.11833333,3.871666667,155.5666667,2017,6,3,15,0.12281420417383833,1.3396318577512491e-05,0.010170704676187216,0.049125681669535334,0.030460943085781705,0.000635669042261701,0.0006807781058444354,2.9502777273232675e-05,5.575540191242271e-05,9.60047471722404e-05,0.0001345075693425759,0.00021383906581683623,0.0003480923675425076,0.0006613500715690737,0.0012459113228329342,0.0020595676969279116,0.0033626892335643995,0.0053459766454209065,0.008238270787711647,0.012306552658186535,0.017188490902756398,0.022884085521421238,0.027689743480919692,2.9596802916548938e-05,5.609168863205538e-05,9.700397644933941e-05,0.00013647308623569845,0.0002188281539414426,0.00036140905320316554,0.0007102460290176576,0.0014250995062277422,0.0025718492730964397,0.004832745643057755,0.009515481307534672,0.02003151639527393,0.04640567549127935,0.10973388056237622,0.2700326259391381,0.5486520071952327,2.9596802916548938e-05,7.65478325406974e-05,0.00023890343112676886,0.0015690649361139463,0.011459914448622118,0.2437060472970066
2017-06-03 16:00:00,1.718333333,73.91666667,3.366666667,154.55,2017,6,3,16,0.11233166667333334,1.3409384802597027e-05,0.010160794250129366,0.04493266666933334,0.033671951965324305,0.0006350496406330854,0.0006844298849918523,2.9478383300594377e-05,5.5707320102327925e-05,9.591962293769943e-05,0.00013437650395796085,0.00021363069910896996,0.0003477531832106777,0.000660705646114662,0.0012446972956408476,0.002057560835651197,0.0033594125989490227,0.00534076747772425,0.008230243342604788,0.012294561042656537,0.01717174228271863,0.022861787062791076,0.027662762345977195,2.958102837642379e-05,5.607445654197159e-05,9.701068402641729e-05,0.00013652269188011595,0.00021908055052728662,0.000362309542253077,0.0007142383544007359,0.0014414695539641282,0.0026225372381789708,0.004992303380453638,0.010025538686119884,0.021721438913717632,0.052399265222926386,0.13007386248396274,0.33874789584183956,0.7219762761084998,2.958102837642379e-05,7.654257028419443e-05,0.00023930426155349322,0.0015927483821812783,0.012246426993430384,0.3107993249143071
2017-06-03 17:00:00,1.756666667,73.71666667,3.403333333,143.4833333,2017,6,3,17,0.11306701665996334,1.3412724741382218e-05,0.010158264083331887,0.04522680666398534,0.03339237316273114,0.0006348915052082429,0.0006839136203413351,2.9472155169225723e-05,5.5695044267582846e-05,9.589788990910874e-05,0.0001343430425020642,0.00021357750235205295,0.000347666588252034,0.000660541122018656,0.0012443873502081563,0.002057048476874708,0.003358576062551606,0.0053394375588013245,0.008228193907498831,0.012291499540831587,0.01716746630083089,0.022856094187496748,0.02765587396687106,2.9574088399172986e-05,5.605962417957234e-05,9.698132265195215e-05,0.00013647409627996025,0.0002189887515131942,0.00036211906199081276,0.0007136850289442317,0.0014396833811487874,0.002617593196382673,0.00497773044714622,0.009980518802230252,0.021574216099235464,0.05187600105591032,0.12827592706543628,0.33255580697676645,0.7060753256115433,2.9574088399172986e-05,7.652047341576225e-05,0.0002391939699279891,0.0015903205354918972,0.01217748844953731,0.3046957651774141
2017-06-03 18:00:00,1.563333333,76.76833333,3.576666667,131.6166667,2017,6,3,18,0.11659781667354334,1.3395883121740332e-05,0.010171035292094949,0.04663912666941734,0.0322977692185852,0.0006356897057559343,0.0006832948366363502,2.950359103786539e-05,5.57570059007635e-05,9.600758689697822e-05,0.00013451194173795566,0.00021384601701629632,0.00034810368287194974,0.000661371569868474,0.0012459518232816314,0.0020596346466492275,0.0033627985434488933,0.005346150425407408,0.00823853858659691,0.012306952703434891,0.017189049643640465,0.022884829407213637,0.027690643582728495,2.9602643512341323e-05,5.611129893455945e-05,9.70604433864508e-05,0.00013658318767618779,0.00021910468582817796,0.00036214540169024224,0.0007129770426105393,0.001435399042714236,0.0026025925386011944,0.004927321621381462,0.00981304230222385,0.021004586984575187,0.04981239738829211,0.12114522864978718,0.3080450626213922,0.6434334028728067,2.9602643512341323e-05,7.658587116050513e-05,0.00023927775839820264,0.001583656207975323,0.011914983636060167,0.28060902288306955
2017-06-03 19:00:00,1.461666667,75.645,4.07,132.8333333,2017,6,3,19,0.12714035,1.338703004489602e-05,0.010177761575424793,0.05085614000000001,0.029386907723244076,0.0006361100984640496,0.0006796943208748205,2.952014644238062e-05,5.5789638001237274e-05,9.606535949201753e-05,0.00013460089683499287,0.00021398743712330628,0.00034833388991891367,0.0006618089464419972,0.0012467757929895374,0.002060996719023521,0.0033650224208748233,0.005349685928082658,0.008243986876094084,0.012315091506264003,0.0172004170624679,0.022899963544705786,0.027708955889093997,2.961107485163248e-05,5.611484838071656e-05,9.703164016263094e-05,0.00013650170858213622,0.0002188115909361643,0.00036120719908422176,0.0007090498203684526,0.0014197105498054876,0.002554635116240211,0.004777946793039394,0.009340700522069515,0.01946003428235,0.04442675563116949,0.1032254320253513,0.2488647739315495,0.49697645277864466,2.961107485163248e-05,7.657324427167374e-05,0.00023884016620084078,0.0015611318288047172,0.011192893865819635,0.22337335359167873
2017-06-03 20:00:00,1.553333333,74.19666667,3.796666667,131.75,2017,6,3,20,0.12120901667376334,1.339501222666161e-05,0.010171696575894583,0.04848360666950534,0.030913038967530868,0.0006357310359934114,0.000681467553883879,2.950521868958907e-05,5.576021412176518e-05,9.601326678232742e-05,0.00013452068721620585,0.00021385992050818362,0.00034812631530999223,0.0006614145698475453,0.0012460328305470866,0.0020597685566186535,0.0033630171804051477,0.005346498012704592,0.008239074226474614,0.012307752856832449,0.01719016721326185,0.022886317295762813,0.027692443927872998,2.9600507317114087e-05,5.610102682634482e-05,9.702597871552688e-05,0.00013651281543685366,0.00021891684683753365,0.0003616253892497721,0.0007109915937467704,0.0014277959726582644,0.0025797341680791107,0.004856660484517935,0.00958989798810738,0.020272370849774804,0.04723938289734615,0.11249280246649448,0.2790998482719699,0.571009777359802,2.9600507317114087e-05,7.656350277093585e-05,0.00023901835050805313,0.0015728405781613817,0.01157297644080004,0.2524604527489031
2017-06-03 21:00:00,1.186666667,76.25166667,3.556666667,133.8,2017,6,3,21,0.11618581667352335,1.3363094571086782e-05,0.010195991600238982,0.046474326669409344,0.03260257470415576,0.0006372494750149363,0.0006852686882698121,2.9565012207385658e-05,5.587807425334705e-05,9.622193129883899e-05,0.0001348419889131605,0.0002143707233950246,0.00034895781251817926,0.0006629943538055397,0.0012490089710292755,0.0020646882990483944,0.003371049722829014,0.005359268084875616,0.008258753196193578,0.01233714983628917,0.01723122580440388,0.02294098110053771,0.027758587131650622,2.966483118160769e-05,5.623517583287206e-05,9.728327792091889e-05,0.00013693088856026086,0.00021967435760584855,0.0003631202539617477,0.0007150491724694521,0.001440145279926958,0.0026126488245332325,0.004950762289459718,0.009873082630631585,0.021174865281323143,0.05035585557269835,0.12287572118273712,0.3136623947875342,0.6573193578186509,2.966483118160769e-05,7.675922687689547e-05,0.00023990850004261904,0.001589281092309881,0.011999570067138149,0.28605333234040514
2017-06-03 22:00:00,0.428333333,78.48333333,2.768333333,143.1333333,2017,6,3,22,0.10090200416059833,1.3297176787040446e-05,0.010246535951360028,0.04036080166423933,0.039332132276064656,0.0006404084969600018,0.0006965747647479557,2.9689377542410458e-05,5.612323001664503e-05,9.665598441790983e-05,0.00013551043795673637,0.00021543341837734463,0.0003506876929352971,0.0006662810002371859,0.0012552006540416038,0.0020749235301504064,0.0033877609489184105,0.005385835459433616,0.008299694120601626,0.012398308501145639,0.01731664575779845,0.02305470589056007,0.027896194127577677,2.9805315851664637e-05,5.653824551702092e-05,9.789020801812117e-05,0.0001379425984846963,0.00022161301169139474,0.0003672093727366353,0.0007271819842138394,0.0014800419791557548,0.002724561443037021,0.00528511088623727,0.010922138008615653,0.02467403233755349,0.06312605511544658,0.16815577519162522,0.4754918065184055,1.086297882251869,2.9805315851664637e-05,7.721422676757104e-05,0.00024225499430424212,0.001643928468802205,0.01362709374413547,0.4482678797693366
